"month","category","units_sold","revenue"
1,Детские товары,153,233520.0
2,Детские товары,152,245390.0
3,Детские товары,195,293020.0
4,Детские товары,157,230370.0
5,Детские товары,190,288860.0
6,Детские товары,212,322180.0
7,Детские товары,255,381700.0
8,Детские товары,363,542380.0
9,Детские товары,261,400580.0
10,Детские товары,146,215170.0
11,Детские товары,238,367960.0
12,Детские товары,308,468900.0
1,Красота и здоровье,179,425640.0
2,Красота и здоровье,182,404000.0
3,Красота и здоровье,449,1015100.0
4,Красота и здоровье,246,563140.0
5,Красота и здоровье,183,416500.0
6,Красота и здоровье,154,340580.0
7,Красота и здоровье,173,395490.0
8,Красота и здоровье,177,385210.0
9,Красота и здоровье,206,492490.0
10,Красота и здоровье,198,474770.0
11,Красота и здоровье,292,664210.0
12,Красота и здоровье,327,754460.0
1,Одежда,181,509300.0
2,Одежда,230,651870.0
3,Одежда,364,1097340.0
4,Одежда,235,719520.0
5,Одежда,200,568770.0
6,Одежда,177,505460.0
7,Одежда,181,534810.0
8,Одежда,236,645140.0
9,Одежда,314,911920.0
10,Одежда,232,643330.0
11,Одежда,306,904340.0
12,Одежда,443,1249380.0
1,Товары для дома,179,453220.0
2,Товары для дома,208,523650.0
3,Товары для дома,239,606230.0
4,Товары для дома,164,409670.0
5,Товары для дома,197,494320.0
6,Товары для дома,200,511210.0
7,Товары для дома,165,415850.0
8,Товары для дома,224,571560.0
9,Товары для дома,170,427400.0
10,Товары для дома,194,493730.0
11,Товары для дома,259,658320.0
12,Товары для дома,322,815300.0
1,Электроника,164,420270.0
2,Электроника,177,476730.0
3,Электроника,197,465910.0
4,Электроника,182,441980.0
5,Электроника,197,500130.0
6,Электроника,182,437790.0
7,Электроника,159,418840.0
8,Электроника,201,465830.0
9,Электроника,197,459510.0
10,Электроника,247,570710.0
11,Электроника,365,877510.0
12,Электроника,422,1027140.0
